SMD [fecha_entrega=#REF!, semana=1, convencional=SI, referencia=SOR0045, lote=11, articulo=315862 PLACA CABEZAL, cantidad=24, CAD_intro=*, CAD_mod=*, horas=0'94, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=1, convencional=SI, referencia=SOR0047, lote=11, articulo=315863 PLACA BIPOLAR 50MM, cantidad=16, CAD_intro=*, CAD_mod=*, horas=0'85, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=1, convencional=SI, referencia=SOR0049, lote=15, articulo=315810 PCB CABEZAL BIPOLAR 30MM, cantidad=35, CAD_intro=*, CAD_mod=*, horas=1'13, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=1, convencional=NO, referencia=JVV0147, lote=1, articulo=0932-034-0Cr02, cantidad=350, CAD_intro=L, CAD_mod=*, horas=3'58, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=1, convencional=NO, referencia=SOR0105, lote=22, articulo=315744 CIRCUITO MASCARA SKINLIGHT, cantidad=25, CAD_intro=*, CAD_mod=*, horas=1'1, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=1, convencional=NO, referencia=CPS0002, lote=1, articulo=PCB_980015_V01, cantidad=30, CAD_intro=L, CAD_mod=*, horas=1'64, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=1, convencional=SI, referencia=ADV0007, lote=2, articulo=2.19 MONITOR 20150413, cantidad=30, CAD_intro=*, CAD_mod=*, horas=2, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=1, convencional=SI, referencia=MON0010_03, lote=7, articulo=SAPPHIRE_LS_ON_v3_Modif., cantidad=115, CAD_intro=*, CAD_mod=*, horas=11, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=2, convencional=SI, referencia=MON0004_02, lote=6, articulo=817PWDRV V3, cantidad=30, CAD_intro=*, CAD_mod=L, horas=6, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=2, convencional=NO, referencia=THI0009, lote=1, articulo=SAMRT_ECU_V11, cantidad=48, CAD_intro=L, CAD_mod=*, horas=4'34, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=2, convencional=NO, referencia=SOR0050, lote=14, articulo=315864 PCB CABEZAL BIPOLAR 30MM, cantidad=35, CAD_intro=*, CAD_mod=*, horas=1'13, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=2, convencional=SI, referencia=ADV0012, lote=1, articulo=EP0024_WLS PROTOB, cantidad=12, CAD_intro=L, CAD_mod=*, horas=4'88, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=2, convencional=SI, referencia=PRE0008, lote=24, articulo=6354A CRS-240, cantidad=25, CAD_intro=*, CAD_mod=*, horas=4'44, observaciones=MONTAR JUNTO PRE0024]
SMD [fecha_entrega=#REF!, semana=2, convencional=SI, referencia=PRE0024, lote=6, articulo=6370B CRS-240, cantidad=60, CAD_intro=*, CAD_mod=*, horas=*, observaciones=MONTAR JUNTO PRE0008]
SMD [fecha_entrega=#REF!, semana=2, convencional=NO, referencia=JVV0019, lote=10, articulo=0949-003-0R02 M1, cantidad=100, CAD_intro=*, CAD_mod=*, horas=1'56, observaciones=non_value]
SMD [fecha_entrega=#REF!, semana=3, convencional=NO, referencia=JVV0114, lote=5, articulo=0949-016-0R02 M1, cantidad=200, CAD_intro=*, CAD_mod=*, horas=3'27, observaciones=non_value]
